ID,RecipeNumber,RecipeCode,RecipeName,CommentID,UserID,UserName,UserReputation,CreationTimestamp,ReplyCount,ThumbsUpCount,ThumbsDownCount,Rating,BestScore,Recipe_Review
2,29,3058,Winning Apple Crisp,sp_aUSaElGf_3058_c_2C8IQkf1dKr6y9ZDMQlehXz5yAy,u_euaop7Hwszem,Saa7727,1,1659648251,0,7,1,3,777,"My family has been making this recipe for probably 15 years but in the version I have all the ingredients for the sauce are halved (water, sugar cornstarch). Thatâ€™s what is making this version of the recipe way too sweet!"
96,15,10252,Liâ€™l Cheddar Meat Loaves,sp_aUSaElGf_10252_c_356713,u_1oKVa0hThBjc7ljLGxKqdbodLiC,khegeman,20,1622718083,0,0,0,5,100,Very good.
112,59,414,Lemon Blueberry Bread,sp_aUSaElGf_414_c_191598,u_1oKW5R48VwHUWUodXbxNs1I1Ktj,kpkaren,1,1622717264,0,0,0,5,100,I made this bread for a church function and it went together so fast that I decided to make another one for my family. It is so good. I&#39;m not even a big fan of lemon and I loved it. With the fresh lemon peel and juice it is such a great quick bread. Will be making this again.
247,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_252760,u_1oKWQ5Bt18YCy09DCW6s6XYXhG8,foleyd,1,1622717584,0,0,0,4,100,"My husband and I loved it and I would make it again for us, but the kids did not care for it.  Too many beans for their taste.  I followed another reviewers suggestion to cook it in the crock-pot on low and stirred in the sour cream and cream about 30 minutes before serving."
17,30,39549,Forgotten Jambalaya,sp_aUSaElGf_39549_c_382587,u_1oKbEWQFLaMTSZL1NVB91wOBjR8,janet bradley,1,1622718243,0,0,0,0,100,Could I use tomato sauce instead of diced tomatoes?  Cant&#39;s wait to try the recipe.
128,75,38183,Baked Tilapia,sp_aUSaElGf_38183_c_368333,u_1oKVpuBSxKIgYkTSt4YF8VFqFOW,txjohnson,1,1622718176,0,0,0,0,100,What are capers?  Can something else be substituted so I can make this tonight?
19,67,16579,Chicken Wild Rice Soup,sp_aUSaElGf_16579_c_420327,u_1oKdU0wuEJE0QKCt0y7lqFdWSlq,vivianhanson,1,1622718454,0,1,3,4,120,"This soup is quite good, but time consuming for preparation.  I followed the recipe to a &#34;T&#34;..with the exception of slicing the carrots. I gave it a 4 star rating as the amount of flour/butter did not thicken the soup.  1/3 cup flour    6 T butter would probably be much better. Unfortunately the soup was watery"
125,59,414,Lemon Blueberry Bread,sp_aUSaElGf_414_c_206100,u_1oKY3D3FYTJVjI365Q1vq8XENRk,NikkiLeigh96,1,1622717359,0,0,0,5,100,I substitute sliced cranberries instead of blueberries in the fall!!
127,3,2832,Cheeseburger Soup,sp_aUSaElGf_2832_c_398751,u_1oKXuPVq3w5IL5zdNDPx35dShnS,TeriWetherell Cudaback,1,1622718330,0,0,0,5,100,"I use some petite diced tomatoes too. As for Velveeta subs, no not a good idea but I do add some grated sharp cheddar in addition to but stir in at the end.  I skipped the dried herbs as well."
94,36,1196,Pumpkin Bread,sp_aUSaElGf_1196_c_311837,u_1oKazxKPfPYTdQ0rQTPeIAJitTG,Margeys,1,1622717909,0,0,0,5,100,"This is delicious! I&#39;ve made half a dozen loaves in the past month; I have a houseful of pumpkin anything fans. Better than Starbucks! Don&#39;t get the bad review, something was off, maybe the oven? Mine&#39;s turned out perfectly every time."
